Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 1524497305982984832,199.7899685,39.2207497,14.161,2.546,1.194,13.5711,19.7949,-7.22,-18.55,1.72,17.241,M3.2,nan,nan,0.928,nan,Gaia DR3
Gaia DR3 4013826162803146752,184.2428086,31.1562839,12.765,2.707,3.538,28.1580,19.8766,-0.44,-9.84,11.00,25.983,M3.5,nan,nan,1.084,nan,Gaia DR3
Gaia DR3 1236585612107071616,221.7376386,18.3002001,9.262,1.006,2.470,21.8159,19.8987,-13.33,-14.34,0.19,19.479,K0.9,nan,nan,0.943,nan,Gaia DR3
Gaia DR3 1678074272650459008,197.9965323,65.8336938,12.110,2.197,1.344,28.2839,19.9273,-8.94,-41.79,0.32,27.740,M1.7,nan,nan,1.227,nan,Gaia DR3
Gaia DR3 1482453802402265088,213.4867868,35.9289776,17.301,3.755,2.973,4.9402,19.9309,-11.64,nan,nan,16.273,M5.7,nan,nan,0.988,nan,None
Gaia DR3 1535849763538623232,182.9661909,39.9578284,11.010,1.704,0.624,26.2542,20.0894,-1.66,-2.39,0.58,22.071,K7.0,nan,nan,1.367,nan,Gaia DR3
Gaia DR3 1321207948286591232,237.3213714,30.9851625,14.572,2.824,1.944,18.4202,20.0954,-19.11,nan,nan,18.201,M3.7,nan,nan,1.093,nan,None
Gaia DR3 1255034459444168704,218.2865282,24.5349321,17.280,4.730,1.849,15.2740,20.2671,-12.59,nan,nan,42.473,M7.0,nan,nan,1.066,nan,None
Gaia DR3 1457686547075286912,210.6033300,33.0216320,9.521,0.997,3.811,8.6928,20.3529,-10.44,-10.30,0.22,16.431,K0.6,nan,nan,1.822,nan,Gaia DR3
Gaia DR3 1668845350004416256,221.3180642,65.3301413,7.107,0.639,2.992,25.6396,20.3772,-13.05,-11.88,0.17,21.240,F6.0,nan,nan,0.994,nan,Gaia DR3
Gaia DR3 4008765145140180224,185.6987698,27.1989451,12.719,2.491,4.485,29.0694,20.5452,-0.26,-7.60,1.71,25.597,M3.0,nan,nan,1.283,nan,Gaia DR3
Gaia DR3 3942267575245222656,192.9644116,20.3809864,13.351,2.606,3.038,28.5151,20.7985,-1.99,-2.93,2.80,23.570,M3.3,nan,nan,1.263,nan,Gaia DR3
Gaia DR3 3942331514424144256,192.6731587,20.5369914,17.304,3.740,3.789,28.5816,20.8920,-1.90,nan,nan,23.476,M5.7,nan,nan,1.094,nan,None
Gaia DR3 1627909570029879680,238.2946653,62.5960158,14.496,3.196,4.661,26.0319,20.9023,-16.17,nan,nan,21.010,M4.6,nan,nan,1.283,nan,None
Gaia DR3 1312325955919592320,249.7812210,30.6217820,13.827,2.776,3.507,27.8279,20.9241,-22.30,-3.26,1.27,22.498,M3.6,nan,nan,1.173,nan,Gaia DR3
Gaia DR3 1376250634245000704,235.7019427,37.5440504,15.887,3.386,4.323,14.4454,20.9992,-18.50,nan,nan,16.984,M5.1,nan,nan,1.731,nan,None
Gaia DR3 1670742145000989312,220.1078408,68.6740211,14.647,3.022,4.618,28.9208,21.0484,-12.51,-9.41,8.11,31.989,M4.2,nan,nan,1.123,nan,Gaia DR3
Gaia DR3 1321207948287911168,237.3211583,30.9852797,14.566,2.811,0.603,18.4200,21.0598,-19.11,nan,nan,17.792,M3.7,nan,nan,1.115,nan,None
Gaia DR3 1468322432286288128,203.1618848,30.9848129,12.758,3.080,4.880,14.5336,21.0615,-7.52,-11.80,31.32,44.583,M4.3,nan,nan,15.772,nan,Gaia DR3
Gaia DR3 1442307677933551104,201.1409439,21.2215714,15.583,3.025,2.844,23.1728,21.2342,-5.49,-19.78,4.58,19.250,M4.2,nan,nan,1.041,nan,Gaia DR3
Gaia DR3 1182978514674919040,229.7934070,14.4026574,13.340,2.736,4.074,27.6175,21.3437,-15.91,-32.74,2.94,21.759,M3.6,nan,nan,1.887,nan,Gaia DR3
Gaia DR3 1325528616668262784,245.6747778,32.8737287,17.350,4.073,0.813,23.6974,21.3630,-21.25,nan,nan,19.397,M6.2,nan,nan,0.951,nan,None
Gaia DR3 1261691963695043072,226.6073469,21.7458526,11.984,1.978,4.801,19.6772,21.5359,-15.40,-12.69,0.35,17.923,M0.6,nan,nan,1.243,nan,Gaia DR3
Gaia DR3 1694997062272007680,220.4405390,70.2623569,13.400,2.601,2.461,30.5134,21.5626,-12.38,-21.10,1.05,30.281,M3.3,nan,nan,1.246,nan,Gaia DR3
Gaia DR3 1553392093602841728,202.2152863,49.4715589,12.301,1.807,3.600,14.4550,21.5742,-8.91,-34.03,0.47,16.798,K7.8,nan,nan,1.198,nan,Gaia DR3
Gaia DR3 1182206142114906240,228.1025403,12.2991956,13.615,--,2.798,29.0729,21.6793,-15.08,-14.48,2.87,22.718,nan,nan,nan,1.314,nan,Gaia DR3
Gaia DR3 1669700701331083264,221.6291202,67.7219302,16.415,3.547,2.813,28.0288,21.6860,-12.84,nan,nan,21.711,M5.4,nan,nan,1.043,nan,None
Gaia DR3 1193907316656812800,233.3546843,13.6827112,10.478,1.608,3.236,29.6364,21.7161,-17.08,-22.30,0.25,23.341,K5.6,nan,nan,1.138,nan,Gaia DR3
Gaia DR3 1193907346721779328,233.3570630,13.6826657,17.039,3.751,3.585,29.6374,21.7393,-17.08,nan,nan,23.299,M5.7,nan,nan,0.990,nan,None
Gaia DR3 1518521529003631488,190.1478351,35.9618356,15.383,3.012,1.991,21.7557,21.8012,-3.42,7.01,7.53,18.425,M4.1,nan,nan,1.077,nan,Gaia DR3
Gaia DR3 1182206142114219136,228.1026672,12.2994915,13.426,2.706,4.693,29.0726,21.8028,-15.08,-17.63,1.59,22.534,M3.5,nan,nan,1.067,nan,Gaia DR3
Gaia DR3 1261692032414519680,226.6040256,21.7462397,12.448,2.176,4.886,19.6757,21.8204,-15.40,-13.75,0.46,17.803,M1.5,nan,nan,4.229,nan,Gaia DR3
Gaia DR3 1532253776399535104,187.6174378,39.3501772,11.333,1.730,3.129,22.8492,21.8250,-3.10,-0.52,0.32,18.793,K7.1,nan,nan,1.043,nan,Gaia DR3
Gaia DR3 1322584674284114816,243.7030361,32.6546061,13.443,2.409,2.773,22.2966,21.9083,-20.78,-63.35,0.81,18.553,M2.7,nan,nan,1.148,nan,Gaia DR3
Gaia DR3 1322584674284114048,243.6977029,32.6443305,15.067,2.819,2.895,22.2971,21.9303,-20.78,-65.85,3.91,18.542,M3.7,nan,nan,1.032,nan,Gaia DR3
Gaia DR3 1566653578222808832,196.9975366,58.4288678,14.774,2.683,1.882,22.7299,21.9307,-8.24,-5.44,3.22,18.694,M3.5,nan,nan,0.987,nan,Gaia DR3
Gaia DR3 1515445507785915520,191.1088882,35.2741555,15.367,3.153,4.926,21.2447,21.9966,-3.65,nan,nan,18.171,M4.5,nan,nan,1.091,nan,None
Gaia DR3 1200757686414000768,244.6271076,19.1444576,11.431,2.080,4.730,31.2069,22.0030,-20.96,-23.26,0.28,25.540,M1.0,nan,nan,1.891,nan,Gaia DR3
Gaia DR3 1289138423920964608,226.2625903,33.7491737,14.095,2.671,2.491,9.3181,22.1881,-15.78,0.19,1.57,15.981,M3.4,nan,nan,1.202,nan,Gaia DR3
Gaia DR3 1413918390784202624,253.4833718,53.0926784,11.599,2.012,3.750,27.7964,22.2067,-20.30,-40.20,0.28,21.000,M0.7,nan,nan,1.094,nan,Gaia DR3
Gaia DR3 1392282819447942272,229.1928519,41.1820994,17.904,4.103,3.402,9.0752,22.3006,-16.58,nan,nan,15.930,M6.2,nan,nan,0.942,nan,None
Gaia DR3 1466973675115010176,198.5859863,33.6869833,16.013,3.116,3.887,16.2193,22.3110,-6.14,nan,nan,16.860,M4.4,nan,nan,0.943,nan,None
Gaia DR3 1314312185020118144,250.6606043,33.1489180,19.810,3.202,4.269,27.3955,22.4261,-22.37,nan,nan,20.547,M4.6,nan,nan,1.010,nan,None
Gaia DR3 1203627102528283392,237.9127156,18.6731136,12.127,2.093,2.294,27.5443,22.4521,-18.96,-19.57,3.23,20.617,M1.0,nan,nan,1.518,nan,Gaia DR3
