Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr,rank_score
Gaia,DR3,5604851266662362112,109.9113757,-31.675806,18.694,3.511,0.882,2.257,24.3669,19.5,,,2.511,M5.3,,,0.938,,,-7.589,4.454,-8.055,0.149,4.491,0.187,1
Gaia,DR3,5604862678395364096,109.7420088,-31.6362187,11.636,0.643,0.84,2.3143,19.8988,19.54,19.68,0.99,2.73,F6.1,,,0.903,,Gaia_DR3,-8.216,4.848,-7.825,0.011,5.132,0.014,1
Gaia,DR3,5590977633239816064,109.3053652,-34.4292405,10.994,0.545,0.729,0.877,24.5056,19.2,18.88,1.01,2.813,F4.0,,,0.867,,Gaia_DR3,-8.371,5.591,-8.752,0.012,5.386,0.015,1
Gaia,DR3,5592073124780905088,113.4237642,-33.2252233,13.795,1.21,0.517,2.7987,19.8922,18.5,26.68,2.72,2.691,K3.0,,,1.021,,Gaia_DR3,-8.849,4.786,-9.139,0.013,4.835,0.013,1
Gaia,DR3,5590907225837632512,110.3479764,-34.0850064,18.554,1.336,3.652,0.2194,18.8436,19.04,,,2.512,K4.1,,,2.67,,,-7.677,4.854,-6.962,0.336,3.057,0.369,1
Gaia,DR3,5604925797235181184,110.621836,-31.4214533,16.88,2.784,0.501,2.5296,19.8917,19.38,,,2.566,M3.7,,,1.024,,,-7.897,4.455,-7.786,0.051,4.702,0.054,1
Gaia,DR3,5604987610405962496,110.7064246,-31.0662144,16.051,2.269,1.176,2.8917,19.7808,19.41,,,2.605,M2.1,,,1.006,,,-8.034,4.45,-8.679,0.032,4.422,0.034,1
Gaia,DR3,5592519663939249920,111.7527347,-32.9159137,17.851,2.982,0.823,1.6604,19.7689,18.92,,,2.528,M4.1,,,1.037,,,-7.997,4.572,-8.35,0.088,4.832,0.1,1
Gaia,DR3,5590352148560771328,109.2896016,-35.2714727,13.074,0.918,3.243,1.5316,18.8157,19.06,18.52,3.3,2.532,G8.4,,,0.977,,Gaia_DR3,-7.529,5.182,-6.317,0.01,6.418,0.012,1
Gaia,DR3,5591371975655381248,113.4354799,-34.5899089,9.37,0.081,3.222,2.7799,19.2026,18.29,19.74,3.13,2.602,A2.5,,,3.329,,Gaia_DR3,-8.557,4.866,-9.557,0.064,6.324,0.065,1
Gaia,DR3,5591234918961312128,112.739507,-35.2482034,18.639,3.241,4.128,2.4962,18.6749,18.34,,,2.58,M4.7,,,2.71,,,-8.351,4.998,-10.233,0.472,6.223,0.514,1
Gaia,DR3,5592514475618427136,111.8753639,-33.0280446,16.271,2.242,0.253,1.6799,20.0357,18.87,,,2.527,M1.9,,,0.943,,,-8.015,4.579,-8.138,0.036,4.522,0.039,1
Gaia,DR3,5591801373604914944,113.7451562,-33.9004862,19.163,1.547,3.774,2.9666,24.9525,18.32,,,2.752,K5.4,,,2.154,,,-9.114,4.992,-7.098,0.403,4.138,0.474,1
Gaia,DR3,5590360631118410240,108.8570746,-35.3015693,19.327,3.107,2.239,1.7523,20.1464,19.14,,,2.758,M4.4,,,1.072,,,-8.108,5.686,-7.04,0.261,6.43,0.297,1
Gaia,DR3,5588400408048886144,113.8510039,-34.4284188,18.777,3.496,1.342,3.0866,24.3181,18.22,,,2.551,M5.3,,,0.961,,,-8.47,4.71,-9.11,0.159,4.376,0.183,1
Gaia,DR3,5603565250372784128,107.8907579,-31.8903805,18.082,2.519,2.283,2.7912,18.4844,19.88,,,2.645,M3.1,,,1.035,,,-7.575,4.877,-6.314,0.098,4.71,0.112,1
Gaia,DR3,5590244632641685888,109.156339,-36.0903489,20.124,2.254,3.772,2.3216,18.3592,18.94,,,2.711,M2.0,,,1.029,,,-8.033,5.715,-9.776,0.418,6.983,0.497,1
Gaia,DR3,5590746937656475136,109.3151666,-34.9434919,18.989,3.058,2.976,1.2411,18.3358,19.11,,,2.756,M4.3,,,0.966,,,-8.203,5.577,-6.487,0.186,5.786,0.23,1
Gaia,DR3,5604409125547294208,107.1523766,-31.2369373,19.114,3.292,1.941,3.6981,24.9761,20.13,,,2.607,M4.8,,,1.043,,,-7.315,4.732,-7.633,0.183,5.751,0.205,1
Gaia,DR3,5603239588769729792,109.144699,-32.7872213,18.992,2.824,2.839,1.4221,24.2864,19.49,,,2.803,M3.7,,,1.039,,,-8.304,5.255,-6.754,0.201,5.896,0.236,1
Gaia,DR3,5587945523770325504,113.5810673,-36.1364233,10.76,0.417,0.864,3.5636,24.235,18.01,18.69,1.12,2.603,F0.6,,,0.84,,Gaia_DR3,-8.589,5.125,-8.476,0.011,4.665,0.013,1
Gaia,DR3,5602578683497310208,106.6299862,-34.7373341,13.198,,1.762,3.035,20.1908,19.67,,,2.655,,,,2.127,,,-7.338,5.537,-6.357,0.057,5.64,0.044,1
Gaia,DR3,5592844221727463808,110.7551755,-32.2188626,18.064,2.98,0.898,1.7725,19.7326,19.24,,,2.532,M4.1,,,1.039,,,-7.816,4.529,-7.973,0.113,4.982,0.147,1
Gaia,DR3,5586477297787400192,112.1503162,-37.255569,14.665,1.577,0.63,3.7015,24.5407,18.13,6.74,4.25,2.631,K5.5,,,0.971,,Gaia_DR3,-8.4,5.503,-8.222,0.018,5.202,0.019,1
Gaia,DR3,5592828523629838208,111.2795618,-31.9336239,17.136,2.686,0.486,2.1958,18.8525,19.16,,,2.557,M3.5,,,1.06,,,-7.998,4.484,-8.258,0.064,4.453,0.068,1
Gaia,DR3,5589708728102351872,112.2333579,-35.8884055,12.031,0.771,3.094,2.5936,20.1939,18.34,18.22,0.78,2.567,F9.7,,,0.903,,Gaia_DR3,-8.213,5.127,-6.694,0.01,4.424,0.012,1
Gaia,DR3,5588764415112413184,114.2845243,-34.2848537,18.854,3.073,1.227,3.4256,24.7878,18.14,,,2.713,M4.3,,,1.017,,,-9.093,4.944,-8.779,0.182,4.316,0.198,1
Gaia,DR3,5591482927556292608,113.0278025,-34.0158445,13.908,1.115,4.854,2.3715,19.0817,18.47,32.95,2.38,2.717,K2.1,,,1.096,,Gaia_DR3,-8.853,5.011,-7.859,0.013,7.607,0.016,1
Gaia,DR3,5604754548296995584,109.5397185,-32.3762979,13.555,1.079,4.095,1.6337,19.2259,19.47,16.38,2.23,2.753,K1.9,,,0.979,,Gaia_DR3,-8.241,5.05,-9.709,0.012,6.92,0.015,1
Gaia,DR3,5590627090890157056,108.2171048,-34.7139687,18.463,3.2,2.741,1.797,19.0757,19.37,,,2.746,M4.6,,,1.075,,,-7.935,5.599,-9.507,0.134,5.813,0.135,1
Gaia,DR3,5578540404380300416,105.9375147,-35.2970886,10.452,0.541,1.818,3.7449,24.7742,19.7,10.59,1.82,2.64,F3.8,,,1.946,,Gaia_DR3,-7.149,5.663,-7.863,0.027,6.379,0.031,1
Gaia,DR3,5590670315438423168,109.7481114,-35.3468366,18.629,3.144,1.648,1.4663,19.2271,18.95,,,2.527,M4.5,,,0.957,,,-7.605,5.151,-7.496,0.128,6.022,0.146,1
Gaia,DR3,5589636572651211008,111.120881,-36.3194468,12.54,0.851,2.929,2.52,19.2442,18.51,12.05,1.16,2.574,G5.1,,,1.605,,Gaia_DR3,-8.018,5.309,-7.63,0.018,3.768,0.019,1
Gaia,DR3,5578761711158702080,105.8480861,-34.719811,19.751,2.67,2.099,3.6574,24.7663,19.81,,,2.606,M3.4,,,1.086,,,-7.037,5.486,-8.188,0.332,5.437,0.403,1
Gaia,DR3,5592765022532669440,110.4253798,-32.2133031,18.456,3.178,0.866,1.7223,19.2802,19.31,,,2.751,M4.6,,,0.935,,,-8.422,4.945,-7.953,0.111,4.766,0.132,1
Gaia,DR3,5592857725105309440,110.6569238,-32.0918536,19.532,3.044,2.459,1.8754,24.7171,19.28,,,2.497,M4.2,,,1.024,,,-7.691,4.451,-8.983,0.27,4.375,0.315,1
Gaia,DR3,5590975704796906368,109.4612743,-34.4112512,19.766,2.699,3.325,0.7637,19.0155,19.17,,,2.771,M3.5,,,1.09,,,-8.277,5.49,-10.182,0.352,5.111,0.426,1
Gaia,DR3,5591614009957053056,111.7109199,-33.9597998,17.436,2.657,1.199,1.2786,19.4457,18.77,,,2.765,M3.4,,,1.884,,,-8.737,5.204,-9.005,0.143,4.558,0.162,1
Gaia,DR3,5592191872039603200,112.9801966,-32.4325676,16.022,2.095,0.451,2.7837,19.4972,18.71,,,2.596,M1.0,,,1.047,,,-8.45,4.511,-8.682,0.032,4.425,0.035,1
Gaia,DR3,5592410120796026880,111.4878953,-33.3150743,19.334,2.656,1.531,1.254,19.5349,18.91,,,2.52,M3.4,,,1.04,,,-7.92,4.647,-8.708,0.233,4.846,0.26,1
Gaia,DR3,5592671460965972864,110.8577317,-32.9125731,18.788,2.701,3.768,1.1613,19.6857,19.11,,,2.517,M3.5,,,1.028,,,-7.79,4.618,-8.185,0.147,2.658,0.197,1
Gaia,DR3,5586590135169192064,112.6899582,-36.762265,14.769,1.42,2.865,3.5053,24.6908,18.1,6.28,4.97,2.584,K4.8,,,1.031,,Gaia_DR3,-8.354,5.272,-6.822,0.018,5.564,0.023,1
Gaia,DR3,5591432311357145216,112.9243998,-34.4809327,18.702,3.254,1.107,2.3451,18.9881,18.42,,,2.717,M4.7,,,0.962,,,-8.834,5.107,-9.463,0.151,5.028,0.179,1
Gaia,DR3,5591855215314826752,113.6948582,-33.6906696,18.935,3.306,1.107,2.9375,19.6048,18.37,,,2.658,M4.9,,,1.015,,,-8.793,4.788,-9.413,0.17,4.808,0.201,1
Gaia,DR3,5605109553106678912,108.5825678,-31.2749192,18.881,3.018,3.244,2.9661,19.6258,19.84,,,2.64,M4.2,,,0.978,,,-7.705,4.701,-7.93,0.139,6.492,0.173,1
Gaia,DR3,5604898824839628672,110.3874544,-31.6090482,16.343,2.298,0.647,2.3205,19.6296,19.41,,,2.556,M2.3,,,0.919,,,-7.82,4.488,-7.766,0.037,4.833,0.041,1
Gaia,DR3,5578534249687945472,106.2819486,-35.2077796,11.845,0.747,4.098,3.4501,24.6345,19.65,18.52,3.67,2.708,F9.4,,,0.922,,Gaia_DR3,-7.407,5.764,-5.621,0.012,7.275,0.013,1
Gaia,DR3,5589786239370323584,112.0132985,-35.3770779,18.479,3.037,2.988,2.101,24.9176,18.47,,,2.502,M4.2,,,1.019,,,-7.963,4.928,-6.388,0.135,4.995,0.169,1
Gaia,DR3,5591651457769449856,112.6341888,-33.952293,19.813,2.59,3.666,2.0442,18.8731,18.56,,,2.733,M3.3,,,1.052,,,-8.826,5.064,-10.908,0.385,5.423,0.458,1
Gaia,DR3,5566139390687466752,107.566513,-36.936091,15.997,2.008,1.621,3.6853,24.617,19.1,,,2.618,M0.7,,,1.271,,,-7.432,5.801,-7.336,0.042,6.691,0.049,1
Gaia,DR3,5605124564022442752,108.9382409,-31.1457165,18.789,2.968,4.688,2.9645,19.6626,19.78,,,2.631,M4.0,,,1.036,,,-7.751,4.635,-7.915,0.152,2.04,0.175,1
Gaia,DR3,5589713091789522432,112.1366797,-35.8084523,18.806,2.702,1.357,2.4819,19.6761,18.38,,,2.566,M3.5,,,1.131,,,-8.19,5.118,-7.545,0.196,4.767,0.238,1
Gaia,DR3,5592890474239959936,110.9011667,-31.8803296,15.843,2.053,0.692,2.1322,19.2113,19.25,,,2.551,M0.8,,,1.138,,,-7.903,4.491,-7.854,0.03,4.86,0.037,1
Gaia,DR3,5590862729973640320,110.6693581,-34.1104651,17.66,2.889,1.115,0.4543,19.68,18.96,,,2.779,M3.9,,,0.911,,,-8.562,5.348,-7.91,0.075,5.386,0.08,1
Gaia,DR3,5591851916785725952,114.2737752,-33.1942948,10.934,0.584,4.43,3.4958,23.5494,18.31,18.44,0.48,2.673,F4.9,,,0.923,,Gaia_DR3,-8.956,4.675,-11.401,0.012,4.174,0.013,1
Gaia,DR3,5590149494824475904,108.4723992,-36.4119414,13.975,1.201,3.542,2.8503,20.5967,19.02,37.01,2.23,2.699,K2.9,,,0.974,,Gaia_DR3,-7.854,5.807,-9.591,0.014,4.785,0.017,1
Gaia,DR3,5592105521714883328,113.5287343,-32.9152185,9.85,0.126,1.885,2.9783,20.2612,18.52,13.4,1.72,2.608,A3.6,,,2.799,,Gaia_DR3,-8.595,4.574,-9.26,0.043,3.779,0.054,1
Gaia,DR3,5566448216015325952,106.8588656,-35.7794587,11.203,0.714,4.871,3.2912,22.0015,19.44,10.15,1.78,2.663,F8.8,,,0.835,,Gaia_DR3,-7.409,5.736,-6.457,0.012,8.3,0.014,1
Gaia,DR3,5593124189181564800,112.7787855,-31.5670265,17.034,2.597,0.459,3.2185,22.3044,18.88,,,2.595,M3.3,,,0.999,,,-8.409,4.37,-8.159,0.051,4.349,0.06,1
Gaia,DR3,5590240990507294208,109.0188569,-36.1717575,18.975,3.121,4.651,2.4389,22.2806,18.96,,,2.536,M4.4,,,1.029,,,-7.489,5.372,-5.118,0.177,6.121,0.254,1
Gaia,DR3,5591327789034851968,112.5402318,-34.8053614,19.823,2.832,2.744,2.1462,23.7246,18.45,,,2.778,M3.8,,,1.094,,,-8.951,5.316,-9.976,0.329,6.554,0.421,1
Gaia,DR3,5592746262114958080,110.432517,-32.4455844,19.24,3.22,4.938,1.4929,22.2507,19.27,,,2.506,M4.7,,,1.011,,,-7.674,4.545,-7.901,0.225,7.144,0.241,1
Gaia,DR3,5590861840922043904,110.8002867,-34.0369675,9.806,0.663,1.936,0.5347,22.2491,18.95,16.03,0.83,2.799,F6.7,,,0.846,,Gaia_DR3,-8.65,5.36,-7.551,0.01,5.672,0.012,1
Gaia,DR3,5605196277095317504,110.1873847,-30.8177455,15.766,2.043,0.67,3.1046,22.0261,19.56,,,2.586,M0.8,,,0.95,,,-7.871,4.408,-7.942,0.03,4.766,0.04,1
Gaia,DR3,5589235903740941824,110.118591,-36.8251121,10.97,0.465,3.123,2.9031,22.0109,18.62,17.5,0.97,2.567,F1.5,,,0.888,,Gaia_DR3,-7.8,5.466,-6.309,0.013,6.261,0.014,1
Gaia,DR3,5589500336283013376,109.6329224,-36.2260579,19.799,,4.238,2.3453,21.9743,18.83,,,2.535,,,,0.994,,,-7.606,5.331,-5.918,0.415,6.84,0.788,1
Gaia,DR3,5586484783909586816,112.2853629,-37.1213068,18.515,3.062,1.672,3.6324,24.1678,18.12,,,2.624,M4.3,,,0.985,,,-8.405,5.453,-8.515,0.133,4.535,0.141,1
Gaia,DR3,5588157244174365696,113.1731641,-35.7513961,11.817,0.701,0.664,3.0689,21.9659,18.16,16.79,3.79,2.583,F8.3,,,0.892,,Gaia_DR3,-8.446,5.055,-8.206,0.011,4.784,0.014,1
Gaia,DR3,5605234416405359232,109.5540807,-30.7244438,13.159,0.991,1.473,3.24,21.9346,19.71,19.66,4.26,2.674,K0.4,,,0.952,,Gaia_DR3,-8.006,4.585,-8.832,0.009,4.672,0.011,1
Gaia,DR3,5588379074949628416,114.0768813,-34.6788148,13.117,,0.634,3.3143,21.9294,18.13,54.85,6.37,2.639,,,,1.297,,Gaia_DR3,-8.805,4.896,-9.121,0.017,4.74,0.03,1
Gaia,DR3,5588283206974735488,113.7323343,-35.3366138,18.584,3.431,1.156,3.254,21.8573,18.1,,,2.667,M5.2,,,1.128,,,-8.832,5.096,-8.255,0.188,4.795,0.199,1
Gaia,DR3,5604175964660747136,107.0370773,-32.5634223,12.635,0.851,1.547,2.9517,21.8524,19.95,29.81,4.94,2.573,G5.1,,,0.874,,Gaia_DR3,-7.196,4.93,-6.463,0.009,5.339,0.011,1
Gaia,DR3,5593063681680333440,113.2808996,-31.689503,12.764,0.826,2.042,3.4378,23.7378,18.75,3.18,1.32,2.595,G2.3,,,0.968,,Gaia_DR3,-8.504,4.352,-8.631,0.01,3.243,0.011,1
Gaia,DR3,5592948198591206784,112.7960523,-32.2772018,11.678,0.639,1.044,2.7465,23.7455,18.78,16.82,1.59,2.537,F6.0,,,0.997,,Gaia_DR3,-8.224,4.396,-7.805,0.012,4.764,0.013,1
Gaia,DR3,5589300637486478592,109.4415624,-37.0784525,19.996,3.06,3.147,3.2114,22.3445,18.71,,,2.593,M4.3,,,1.111,,,-7.743,5.622,-6.423,0.408,6.726,0.464,1
Gaia,DR3,5590019168338598912,111.3691416,-34.7762754,17.921,2.909,1.208,1.3072,23.7149,18.71,,,2.8,M3.9,,,1.004,,,-8.776,5.458,-8.944,0.093,4.764,0.101,1
Gaia,DR3,5586616175549295360,112.7354689,-36.5647079,17.884,2.98,1.182,3.3717,23.6925,18.12,,,2.698,M4.1,,,1.039,,,-8.733,5.466,-9.377,0.091,5.273,0.109,1
Gaia,DR3,5592092400594123136,113.2996611,-33.0025816,15.04,1.634,0.807,2.7677,22.5865,18.56,-22.79,7.43,2.551,K5.6,,,0.992,,Gaia_DR3,-8.363,4.507,-7.967,0.02,4.684,0.024,1
Gaia,DR3,5590260300680568960,109.0029024,-36.0138645,18.385,2.813,0.795,2.2999,23.4611,18.99,,,2.769,M3.7,,,0.998,,,-8.174,5.836,-8.624,0.123,5.949,0.147,1
Gaia,DR3,5604924869522324608,110.5233386,-31.451256,13.936,1.279,2.027,2.4889,23.3179,19.4,16.81,4.44,2.759,K3.6,,,0.998,,Gaia_DR3,-8.469,4.803,-7.569,0.012,5.563,0.016,1
Gaia,DR3,5602702687798674304,107.3334219,-34.2513091,17.853,2.964,4.598,2.3724,23.2711,19.62,,,2.764,M4.0,,,1.756,,,-7.795,5.613,-5.461,0.261,6.93,0.721,1
Gaia,DR3,5589726285930089088,112.0555181,-35.7119496,20.054,2.88,4.474,2.3659,23.2112,18.41,,,2.525,M3.9,,,1.078,,,-8.044,5.027,-5.897,0.424,6.057,0.513,1
Gaia,DR3,5591746466748594944,112.1387309,-33.2011626,19.117,3.039,1.412,1.7917,23.1067,18.79,,,2.783,M4.2,,,1.058,,,-8.886,5.056,-9.615,0.204,5.449,0.244,1
Gaia,DR3,5603194444376281984,109.2824318,-33.1179167,17.334,2.764,0.691,1.0932,23.0972,19.41,,,2.799,M3.6,,,1.022,,,-8.323,5.303,-8.373,0.065,4.899,0.077,1
Gaia,DR3,5591917986258055552,113.9809087,-32.9344242,18.347,3.086,1.949,3.3298,23.0048,18.41,,,2.596,M4.3,,,1.123,,,-8.641,4.519,-9.707,0.118,4.492,0.136,1
Gaia,DR3,5589889181150142464,110.0816445,-35.788244,20.149,2.323,4.082,1.8673,22.9629,18.81,,,2.78,M2.4,,,1.122,,,-8.438,5.724,-6.083,0.443,5.303,0.503,1
Gaia,DR3,5593258226518615424,112.2209741,-31.1144198,14.411,1.43,1.531,3.2974,22.9536,19.07,9.88,6.03,2.692,K4.9,,,1.803,,Gaia_DR3,-8.609,4.491,-9.434,0.026,4.217,0.027,1
Gaia,DR3,5590633550521602560,108.5536429,-34.556441,20.048,2.521,3.283,1.4793,22.9238,19.33,,,2.79,M3.1,,,1.098,,,-8.137,5.631,-9.845,0.395,4.73,0.493,1
Gaia,DR3,5591845525864978048,114.2489432,-33.3665626,18.719,2.679,2.195,3.4403,22.8951,18.29,,,2.659,M3.5,,,1.089,,,-8.904,4.684,-10.129,0.196,4.574,0.212,1
Gaia,DR3,5592709364055585792,110.3183404,-32.7776445,17.658,2.88,0.756,1.1513,23.6607,19.25,,,2.49,M3.9,,,1.093,,,-7.604,4.584,-7.772,0.085,4.943,0.091,1
Gaia,DR3,5589619461499426560,110.5078698,-36.5174612,11.504,,3.314,2.6097,22.7867,18.6,20.2,2.41,2.54,,,,1.797,,Gaia_DR3,-7.792,5.322,-6.475,0.033,6.511,0.041,1
Gaia,DR3,5602818475817229312,106.2837806,-34.1745568,19.726,2.72,2.777,3.23,22.7829,19.83,,,2.587,M3.5,,,1.045,,,-7.077,5.313,-6.181,0.311,4.092,0.385,1
Gaia,DR3,5605182700696451968,109.77169,-30.7901553,19.441,3.338,1.641,3.1502,22.7544,19.66,,,2.578,M4.9,,,1.065,,,-7.765,4.419,-8.657,0.254,4.414,0.32,1
Gaia,DR3,5566145777299891584,107.666921,-36.8513646,11.405,0.737,1.653,3.5697,23.7654,19.1,19.21,2.29,2.66,F9.3,,,0.866,,Gaia_DR3,-7.573,5.87,-6.676,0.014,6.103,0.015,1
Gaia,DR3,5588168617251759744,113.6991207,-35.7441522,11.209,0.597,0.513,3.4214,23.7709,18.05,22.22,3.89,2.693,F5.2,,,1.007,,Gaia_DR3,-8.909,5.221,-8.783,0.014,4.958,0.017,1
Gaia,DR3,5591268690284059392,112.8747667,-34.9645468,17.64,2.679,0.772,2.4616,21.7474,18.35,,,2.542,M3.5,,,0.973,,,-8.256,4.866,-8.362,0.075,4.466,0.088,1
Gaia,DR3,5589684263969052032,111.9056076,-36.0831609,16.787,2.777,1.053,2.5863,20.9704,18.38,,,2.557,M3.7,,,1.114,,,-8.119,5.169,-8.683,0.052,5.106,0.062,1
Gaia,DR3,5592588795726279680,111.3647217,-32.564839,17.597,2.768,0.427,1.6853,20.9456,19.05,,,2.52,M3.6,,,1.014,,,-7.897,4.524,-8.123,0.073,4.519,0.086,1
Gaia,DR3,5602486221446541824,106.8885969,-35.3813487,13.516,1.145,3.911,3.0685,20.8973,19.51,32.82,1.57,2.606,K2.3,,,1.003,,Gaia_DR3,-7.257,5.537,-5.648,0.012,6.962,0.014,1
Gaia,DR3,5592140332425689728,112.8508724,-32.9548036,20.199,2.801,3.158,2.437,20.8767,18.67,,,2.55,M3.7,,,1.053,,,-8.275,4.533,-7.936,0.462,6.196,0.477,1
Gaia,DR3,5586625903656340864,113.1045176,-36.3350666,17.084,2.879,1.128,3.4025,23.9727,18.08,,,2.7,M3.9,,,1.659,,,-8.814,5.395,-8.238,0.091,5.112,0.102,1
Gaia,DR3,5590460755396336896,107.3879988,-35.609489,19.189,3.092,2.564,2.8407,20.8518,19.37,,,2.704,M4.3,,,1.062,,,-7.637,5.751,-7.2,0.243,7.146,0.252,1
Gaia,DR3,5592128542735409024,113.5840732,-32.6206883,19.17,3.021,2.902,3.1367,20.7553,18.55,,,2.642,M4.2,,,0.971,,,-8.72,4.577,-7.108,0.205,4.706,0.248,1
Gaia,DR3,5602782505470240640,105.8655474,-34.622076,13.593,1.086,4.503,3.6253,23.9853,19.83,16.42,3.15,2.644,K1.9,,,0.966,,Gaia_DR3,-7.146,5.547,-5.398,0.012,7.35,0.013,1
Gaia,DR3,5591254224832627584,112.8591385,-35.2831499,18.854,3.267,2.26,2.5979,20.7503,18.31,,,2.561,M4.8,,,1.028,,,-8.313,4.957,-9.507,0.176,5.207,0.205,1
Gaia,DR3,5589085545526128384,109.9554098,-37.4936238,11.72,0.699,0.9,3.5756,24.0065,18.54,16.98,2.49,2.613,F8.2,,,0.938,,Gaia_DR3,-7.907,5.698,-8.21,0.011,6.091,0.013,1
Gaia,DR3,5603084007878293760,108.6174474,-33.591782,19.813,3.027,4.519,1.3328,24.0467,19.47,,,2.49,M4.2,,,1.119,,,-7.275,4.85,-5.234,0.386,6.059,0.439,1
Gaia,DR3,5589784491324711808,111.7581804,-35.4045907,13.065,0.978,2.606,1.9754,20.7207,18.52,18.46,5.79,2.755,G9.9,,,0.926,,Gaia_DR3,-8.715,5.454,-7.256,0.011,5.856,0.012,1
Gaia,DR3,5592821990977297792,111.2757134,-32.1054348,19.382,,1.595,2.0396,20.5101,19.14,,,2.75,,,,0.991,,,-8.6,4.856,-7.685,0.266,4.724,0.259,1
Gaia,DR3,5604915386225549568,110.9424175,-31.470079,18.29,,1.322,2.5368,24.0565,19.3,,,2.524,,,,1.062,,,-7.829,4.368,-7.594,0.132,5.031,0.132,1
Gaia,DR3,5591226668322001536,112.4675377,-35.4290977,18.007,2.871,0.779,2.4163,20.3788,18.37,,,2.73,M3.8,,,1.036,,,-8.782,5.347,-8.848,0.092,4.903,0.096,1
Gaia,DR3,5590148150497492352,108.57292,-36.4864014,20.003,2.952,4.34,2.8771,20.3324,18.99,,,2.691,M4.0,,,1.047,,,-7.851,5.795,-10.307,0.471,5.97,0.53,1
Gaia,DR3,5603553499341475968,107.8657548,-32.1274535,12.335,0.789,2.833,2.6371,20.9577,19.85,23.42,2.93,2.561,G0.3,,,0.936,,Gaia_DR3,-7.33,4.768,-6.58,0.009,6.102,0.01,1
Gaia,DR3,5590240926088395776,109.0324137,-36.1756101,9.593,0.157,4.721,2.4382,21.017,18.95,14.07,3.11,2.548,A3.9,,,4.255,,Gaia_DR3,-7.528,5.398,-5.232,0.08,6.475,0.082,1
Gaia,DR3,5603380360619288576,107.6799402,-32.8067924,19.705,2.591,2.087,2.3602,23.7962,19.78,,,2.519,M3.3,,,1.053,,,-7.174,4.829,-6.084,0.282,5.027,0.301,1
Gaia,DR3,5590058510238109696,111.1467322,-34.8726824,18.342,3.292,2.488,1.2458,21.0262,18.74,,,2.509,M4.8,,,0.989,,,-7.822,4.924,-9.067,0.116,5.35,0.15,1
Gaia,DR3,5586630709718904192,112.729722,-36.4505165,17.447,2.445,4.64,3.281,21.7175,18.14,,,2.646,M2.9,,,1.01,,,-8.562,5.34,-8.753,0.067,7.921,0.073,1
Gaia,DR3,5592867453213998720,110.752864,-31.9237564,5.374,-0.195,0.992,2.0575,21.6995,19.28,,,2.526,B2.3,,,0.948,,,-7.797,4.465,-7.964,0.058,4.966,0.072,1
Gaia,DR3,5604872604058030464,110.3860731,-31.9340036,17.765,2.921,0.995,1.9965,23.832,19.36,,,2.507,M3.9,,,1.014,,,-7.669,4.46,-7.891,0.09,4.937,0.101,1
Gaia,DR3,5605915770015322880,108.5121131,-30.6076492,17.497,2.828,0.883,3.5989,23.872,19.95,,,2.654,M3.7,,,1.05,,,-7.732,4.601,-7.843,0.075,5.083,0.081,1
Gaia,DR3,5590182308374735104,107.7276693,-36.5140722,15.352,2.24,2.711,3.2707,21.6448,19.15,-28.84,10.43,2.638,M1.9,,,1.254,,Gaia_DR3,-7.52,5.753,-7.116,0.03,7.205,0.032,1
Gaia,DR3,5593237198350038528,112.4056595,-31.3576254,18.185,2.828,1.47,3.1811,21.5688,18.99,,,2.608,M3.7,,,0.969,,,-8.378,4.382,-9.156,0.099,4.163,0.108,1
Gaia,DR3,5592063641493475712,113.1797661,-33.4855962,15.65,1.385,2.12,2.5412,21.4771,18.51,,,2.736,K4.6,,,9.946,,,-8.946,4.934,-9.005,0.26,6.155,0.299,1
Gaia,DR3,5591582772651841152,111.7665332,-34.2044587,11.016,0.636,1.661,1.352,23.9539,18.71,-0.51,0.41,2.801,F5.9,,,0.94,,Gaia_DR3,-8.864,5.315,-8.422,0.013,4.44,0.014,1
Gaia,DR3,5591855215321644800,113.6947762,-33.6915648,16.228,2.311,0.725,2.9374,21.2066,18.37,,,2.7,M2.3,,,0.966,,,-8.934,4.865,-9.346,0.037,4.861,0.044,1
Gaia,DR3,5591369398678920832,113.3990873,-34.6715303,19.58,2.547,3.87,2.7704,21.2038,18.28,,,2.567,M3.2,,,1.026,,,-8.437,4.819,-6.355,0.358,4.594,0.359,1
Gaia,DR3,5603179154284558080,108.1705621,-32.9378257,19.724,2.721,2.77,1.9377,21.1808,19.66,,,2.761,M3.5,,,1.054,,,-7.969,5.281,-7.432,0.316,3.761,0.4,1
Gaia,DR3,5591746157510578304,112.1437678,-33.2357668,17.369,2.808,0.469,1.7816,21.1359,18.78,,,2.521,M3.7,,,1.035,,,-8.049,4.585,-8.073,0.071,4.337,0.081,1
Gaia,DR3,5604972870077274496,109.924559,-31.2277934,13.499,1.087,0.606,2.7025,21.0578,19.56,14.96,3.54,2.564,K1.9,,,1.149,,Gaia_DR3,-7.753,4.465,-7.627,0.012,4.767,0.015,1
