Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr,rank_score
Gaia,DR3,5590792842269106304,109.5946021,-34.417709,16.908,2.394,2.682,0.6873,20.3651,19.14,,,2.782,M2.7,,,0.976,,,-8.341,5.503,-7.034,0.052,6.379,0.052,0
Gaia,DR3,5591030375437747328,108.4039638,-34.262138,17.77,2.881,5.0,1.5018,15.9955,19.4,,,2.553,M3.9,,,0.982,,,-7.416,5.11,-5.265,0.093,6.727,0.103,0
Gaia,DR3,5592828008233842176,111.2107847,-31.9819577,15.922,2.125,0.953,2.1277,20.4554,19.17,,,2.539,M1.2,,,1.025,,,-7.927,4.466,-8.254,0.03,4.857,0.034,0
Gaia,DR3,5591304256914738688,112.2361294,-34.9183537,6.891,-0.156,2.611,1.9737,20.4847,18.5,,,2.533,B4.8,,,1.18,,,-8.104,4.891,-8.807,0.042,3.688,0.045,0
Gaia,DR3,5602966772448515328,107.1815165,-33.3515502,19.906,3.224,3.963,2.553,20.5052,19.79,,,2.723,M4.7,,,0.975,,,-7.645,5.363,-5.754,0.344,6.627,0.398,0
Gaia,DR3,5602740449152100736,107.7789449,-33.7899709,18.036,2.039,4.907,1.9903,20.5632,19.61,,,2.533,M0.8,,,1.079,,,-7.231,5.028,-5.073,0.111,6.513,0.133,0
Gaia,DR3,5602973545617694592,106.6281787,-33.6983136,18.065,2.97,3.32,2.9515,20.5972,19.84,,,2.595,M4.0,,,1.064,,,-7.172,5.216,-6.059,0.103,6.652,0.121,0
Gaia,DR3,5605223249490609024,109.3561012,-30.9480133,17.044,2.05,4.927,3.0526,20.6124,19.72,,,2.612,M0.8,,,1.012,,,-7.782,4.535,-5.37,0.055,5.778,0.062,0
Gaia,DR3,5590566037932365824,108.8194674,-34.9049513,17.548,3.144,1.861,1.4858,19.7345,19.21,,,2.762,M4.5,,,1.233,,,-8.113,5.621,-7.368,0.104,6.408,0.111,0
Gaia,DR3,5603137368549875328,107.7412293,-33.3882468,18.911,3.341,4.532,2.0913,16.601,19.68,,,2.576,M5.0,,,1.04,,,-7.348,5.042,-5.128,0.168,6.104,0.175,0
Gaia,DR3,5590494294797437056,107.7012982,-35.3046896,17.92,3.036,4.139,2.4576,16.6063,19.36,,,2.616,M4.2,,,1.065,,,-7.453,5.483,-5.479,0.099,6.629,0.111,0
Gaia,DR3,5602666919307191552,108.1850858,-34.1704838,17.663,2.583,4.725,1.6636,17.61,19.46,,,2.545,M3.2,,,1.215,,,-7.35,5.094,-5.384,0.101,6.695,0.096,0
Gaia,DR3,5590539306056303232,108.017072,-35.2597413,16.77,3.018,4.061,2.2205,18.3485,19.31,,,2.564,M4.2,,,1.034,,,-7.37,5.343,-5.625,0.049,6.676,0.057,0
Gaia,DR3,5589931684146093568,110.4163529,-35.3250758,17.306,2.737,3.248,1.4173,18.5348,18.82,,,2.531,M3.6,,,0.971,,,-7.747,5.103,-6.231,0.063,5.943,0.071,0
Gaia,DR3,5586710944008298112,112.4141532,-35.9442197,17.086,2.824,3.26,2.7333,18.0866,18.29,,,2.64,M3.7,,,1.447,,,-8.481,5.266,-9.437,0.074,6.808,0.079,0
Gaia,DR3,5603537900020530560,107.8534116,-32.3234442,18.335,3.033,2.779,2.5142,18.6894,19.82,,,2.7,M4.2,,,1.019,,,-7.725,5.067,-7.072,0.14,6.508,0.14,0
Gaia,DR3,5592737397301719808,110.2700884,-32.6413294,17.434,2.726,0.688,1.2837,17.9089,19.28,,,2.532,M3.5,,,1.062,,,-7.722,4.64,-7.978,0.07,4.904,0.079,0
Gaia,DR3,5603014360686142208,106.8765624,-33.1776167,19.491,3.063,4.926,2.8442,18.8774,19.88,,,2.65,M4.3,,,1.006,,,-7.376,5.208,-4.905,0.259,6.42,0.273,0
Gaia,DR3,5603442105069616256,107.7291379,-32.422862,18.467,2.989,3.087,2.5344,17.8265,19.83,,,2.682,M4.1,,,1.017,,,-7.647,5.061,-8.985,0.134,3.941,0.136,0
Gaia,DR3,5591113869603402368,110.0306599,-33.7989557,17.607,2.693,1.506,0.1694,1.4041,19.15,,,2.631,M3.5,,,0.961,,,-7.975,5.055,-7.334,0.072,5.59,0.087,0
Gaia,DR3,5590794938213222144,109.689099,-34.3591203,18.817,2.981,3.126,0.5912,19.0133,19.13,,,2.513,M4.1,,,1.05,,,-7.553,4.954,-6.2,0.17,5.909,0.186,0
Gaia,DR3,5603116275970767360,107.8758676,-33.7073409,15.39,2.135,0.808,1.9184,19.0691,19.6,,,2.543,M1.3,,,2.069,,,-7.279,5.025,-6.978,0.041,4.715,0.05,0
Gaia,DR3,5590987425764616064,109.3643661,-34.201385,16.373,2.586,3.7,0.7237,17.6452,19.22,,,2.524,M3.2,,,1.083,,,-7.52,4.97,-5.561,0.039,4.777,0.044,0
Gaia,DR3,5591234918961312768,112.7320633,-35.2441027,14.9,1.558,1.388,2.4888,17.5421,18.34,,,2.682,K5.4,,,0.991,,,-8.68,5.196,-9.186,0.02,4.596,0.022,0
Gaia,DR3,5603207806014664832,108.7827007,-33.0224802,18.78,2.799,4.208,1.4661,19.7042,19.53,,,2.523,M3.7,,,1.015,,,-7.404,4.799,-8.093,0.165,6.929,0.175,0
Gaia,DR3,5590408597311527680,107.5334827,-35.8040288,18.702,3.369,4.415,2.8672,19.286,19.31,,,2.616,M5.0,,,0.969,,,-7.418,5.589,-5.304,0.157,6.795,0.153,0
Gaia,DR3,5586697200113102720,112.6795647,-35.9542529,14.564,1.855,1.033,2.8911,19.3654,18.24,,,2.661,M0.1,,,1.341,,,-8.603,5.287,-9.089,0.022,4.972,0.023,0
Gaia,DR3,5591016489802360064,108.6374568,-34.2642517,18.998,2.699,2.376,1.3147,19.3678,19.36,,,2.522,M3.5,,,1.043,,,-7.372,5.032,-6.657,0.205,6.073,0.246,0
Gaia,DR3,5593202563741897984,111.8924685,-31.7907741,17.545,2.844,1.379,2.576,17.2648,19.05,,,2.62,M3.8,,,0.994,,,-8.316,4.522,-9.032,0.069,4.781,0.085,0
Gaia,DR3,5602956125228870144,107.1869794,-33.4853574,17.471,2.03,3.944,2.52,17.0973,19.77,,,2.613,M0.8,,,0.982,,,-7.338,5.172,-5.55,0.088,6.405,0.107,0
Gaia,DR3,5590788448519329920,109.6839042,-34.5185266,17.119,2.853,3.432,0.7192,17.0711,19.1,,,2.528,M3.8,,,0.978,,,-7.594,5.01,-5.988,0.057,5.883,0.057,0
Gaia,DR3,5591336658148533376,112.7075621,-34.6135391,16.953,3.014,2.657,2.2077,16.9689,18.45,,,2.58,M4.1,,,1.14,,,-8.345,4.89,-9.761,0.058,4.601,0.065,0
Gaia,DR3,5604912912333200384,110.7835812,-31.486997,16.699,2.418,1.001,2.4894,16.9621,19.34,,,2.611,M2.8,,,1.056,,,-8.067,4.533,-7.569,0.045,4.768,0.05,0
