Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5590592043957819648,107.8219141,-35.0806163,19.851,2.832,0.617,2.2554,23.6522,19.38,,,2.773,M3.8,,,1.094,,,-7.927,5.758,-7.607,0.382,5.926,0.398
Gaia,DR3,5589124578185453824,110.5384304,-37.4452542,19.205,,2.307,3.5356,23.9276,18.43,,,2.677,,,,1.512,,,-8.221,5.778,-7.082,0.456,5.147,0.504
Gaia,DR3,5588345471124997248,113.8633719,-34.9558324,18.243,3.019,0.336,3.216,24.1521,18.13,,,2.563,M4.2,,,1.012,,,-8.512,4.821,-8.558,0.121,4.646,0.129
Gaia,DR3,5592485402986867712,111.0727018,-32.8262604,18.784,3.338,0.434,1.3301,24.1987,19.08,,,2.804,M4.9,,,0.977,,,-8.724,5.11,-8.522,0.16,5.267,0.182
Gaia,DR3,5604295089867491328,106.6701011,-31.7451315,19.391,2.38,0.852,3.6589,24.3326,20.15,,,2.625,M2.6,,,1.091,,,-7.262,4.895,-7.323,0.271,5.362,0.325
Gaia,DR3,5605060620544711808,109.4542379,-31.3657915,17.731,2.931,0.45,2.6267,24.3862,19.64,,,2.764,M4.0,,,1.033,,,-8.256,4.876,-8.101,0.092,5.087,0.103
Gaia,DR3,5586133008914132352,111.2745468,-37.4849366,19.66,2.845,2.493,3.6736,24.5129,18.27,,,2.665,M3.8,,,2.05,,,-8.332,5.693,-9.688,0.525,6.042,0.57
Gaia,DR3,5587926243658122752,113.5637981,-36.4220551,19.936,2.678,2.699,3.7335,24.7747,17.97,,,2.656,M3.5,,,1.072,,,-8.76,5.281,-7.767,0.518,4.143,0.501
Gaia,DR3,5593432529168887808,111.9888635,-30.5298235,17.739,2.888,0.498,3.7248,24.7935,19.2,,,2.662,M3.9,,,0.982,,,-8.466,4.349,-8.667,0.094,4.544,0.09
Gaia,DR3,5593358625663479808,112.5921216,-30.9342538,20.038,2.384,2.278,3.62,24.8679,19.01,,,2.596,M2.7,,,0.993,,,-8.375,4.271,-9.074,0.402,3.238,0.448
Gaia,DR3,5566390968395241728,106.7471065,-36.4345308,19.877,2.891,2.301,3.7599,24.9431,19.34,,,2.629,M3.9,,,1.069,,,-7.291,5.794,-7.14,0.42,7.061,0.437
