Gaia DR3                              RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate RVsrc 
Gaia DR3 5589656088982368768 111.0502421 -36.0676116 15.475  2.330       0.108   2.2631  19.6447    18.56    -0.82    13.54    2.730 M2.4      nan    nan   0.997     nan                            Gaia DR3
Gaia DR3 5592564812631746304 111.6103714 -32.9572555 19.841  2.701       2.121   1.5411  19.6448    18.94      nan      nan    2.760 M3.5      nan    nan   0.992     nan                                None
Gaia DR3 5605124564022442752 108.9382409 -31.1457165 18.789  2.968       4.688   2.9645  19.6626    19.78      nan      nan    2.631 M4.0      nan    nan   1.036     nan                                None
Gaia DR3 5589713091789522432 112.1366797 -35.8084523 18.806  2.702       1.357   2.4819  19.6761    18.38      nan      nan    2.566 M3.5      nan    nan   1.131     nan                                None
Gaia DR3 5590862729973640320 110.6693581 -34.1104651 17.660  2.889       1.115   0.4543  19.6800    18.96      nan      nan    2.779 M3.9      nan    nan   0.911     nan                                None
Gaia DR3 5592671460965972864 110.8577317 -32.9125731 18.788  2.701       3.768   1.1613  19.6857    19.11      nan      nan    2.517 M3.5      nan    nan   1.028     nan                                None
Gaia DR3 5603207806014664832 108.7827007 -33.0224802 18.780  2.799       4.208   1.4661  19.7042    19.53      nan      nan    2.523 M3.7      nan    nan   1.015     nan                                None
Gaia DR3 5604924418545177728 110.5213641 -31.4972495 18.419  3.027       0.399   2.4430  19.7121    19.39      nan      nan    2.563 M4.2      nan    nan   1.040     nan                                None
Gaia DR3 5592844221727463808 110.7551755 -32.2188626 18.064  2.980       0.898   1.7725  19.7326    19.24      nan      nan    2.532 M4.1      nan    nan   1.039     nan                                None
Gaia DR3 5590566037932365824 108.8194674 -34.9049513 17.548  3.144       1.861   1.4858  19.7345    19.21      nan      nan    2.762 M4.5      nan    nan   1.233     nan                                None
Gaia DR3 5592519663939249920 111.7527347 -32.9159137 17.851  2.982       0.823   1.6604  19.7689    18.92      nan      nan    2.528 M4.1      nan    nan   1.037     nan                                None
Gaia DR3 5603528524112146816 108.7204417 -31.9026124 17.605  3.074       3.738   2.3581  19.7696    19.71      nan      nan    2.557 M4.3      nan    nan   1.010     nan                                None
Gaia DR3 5604987610405962496 110.7064246 -31.0662144 16.051  2.269       1.176   2.8917  19.7808    19.41      nan      nan    2.605 M2.1      nan    nan   1.006     nan                                None
Gaia DR3 5590242163036023424 109.0030455 -36.1046455 16.984  2.406       2.768   2.3825  19.8527    18.97      nan      nan    2.557 M2.7      nan    nan   0.998     nan                                None
Gaia DR3 5604947095973298304 109.9654267 -31.5158251 19.969  3.222       1.473   2.4127  19.8584    19.51      nan      nan    2.724 M4.7      nan    nan   1.039     nan                                None
Gaia DR3 5604925797235181184 110.6218360 -31.4214533 16.880  2.784       0.501   2.5296  19.8917    19.38      nan      nan    2.566 M3.7      nan    nan   1.024     nan                                None
Gaia DR3 5592073124780905088 113.4237642 -33.2252233 13.795  1.210       0.517   2.7987  19.8922    18.50    26.68     2.72    2.691 K3.0      nan    nan   1.021     nan                            Gaia DR3
Gaia DR3 5604862678395364096 109.7420088 -31.6362187 11.636  0.643       0.840   2.3143  19.8988    19.54    19.68     0.99    2.730 F6.1      nan    nan   0.903     nan                            Gaia DR3
Gaia DR3 5602801983144447616 106.5882612 -34.3081668 18.314  2.676       3.237   2.9905  19.9006    19.75      nan      nan    2.625 M3.4      nan    nan   1.063     nan                                None
Gaia DR3 5590719729042730624 110.0476993 -34.7818795 17.369  3.127       1.264   0.8655  19.9057    18.99      nan      nan    2.776 M4.4      nan    nan   1.024     nan                                None
Gaia DR3 5590792846565785088 109.5925837 -34.4207403 15.468  1.898       2.336   0.6906  19.9084    19.14      nan      nan    2.779 M0.3      nan    nan   1.004     nan                                None
Gaia DR3 5590545628247977984 108.3896004 -35.0981756 17.554  3.084       3.872   1.8804  19.9469    19.27      nan      nan    2.534 M4.3      nan    nan   1.626     nan                                None
Gaia DR3 5591001405881316992 109.4621603 -34.0970093 18.439  2.698       3.049   0.6125  20.0032    19.22      nan      nan    2.507 M3.5      nan    nan   1.101     nan                                None
Gaia DR3 5591858513848400768 113.4779015 -33.6436283 20.190  2.465       1.179   2.7630  20.0061    18.42      nan      nan    2.697 M2.9      nan    nan   1.104     nan                                None
Gaia DR3 5592609682155697280 111.6632585 -32.5283551 17.422  2.764       0.895   1.8715  20.0197    18.99      nan      nan    2.752 M3.6      nan    nan   1.014     nan                                None
Gaia DR3 5592514475618427136 111.8753639 -33.0280446 16.271  2.242       0.253   1.6799  20.0357    18.87      nan      nan    2.527 M1.9      nan    nan   0.943     nan                                None
Gaia DR3 5605165593843370624 109.7881648 -31.0549536 17.954    nan       0.736   2.8854  20.0627    19.61      nan      nan    2.684  nan      nan    nan   1.230     nan                                None
Gaia DR3 5592649578109621248 110.1222963 -33.1560321 13.836  1.470       0.191   0.7673  20.1131    19.23    11.32     3.20    2.779 K5.1      nan    nan   1.064     nan                            Gaia DR3
Gaia DR3 5591020617272571264 108.9111087 -34.1937036 17.377  2.757       3.627   1.0780  20.1455    19.31      nan      nan    2.512 M3.6      nan    nan   1.078     nan                                None
Gaia DR3 5590360631118410240 108.8570746 -35.3015693 19.327  3.107       2.239   1.7523  20.1464    19.14      nan      nan    2.758 M4.4      nan    nan   1.072     nan                                None
Gaia DR3 5602578683501767936 106.6300672 -34.7367444  8.472  0.040       2.738   3.0348  20.1563    19.67    18.62     3.61    2.628 A1.4      nan    nan   1.761     nan                            Gaia DR3
Gaia DR3 5589575442378740096 111.5615377 -36.5267727 19.108  2.837       4.940   2.8415  20.1817    18.38      nan      nan    2.590 M3.8      nan    nan   1.086     nan                                None
Gaia DR3 5589659284437840768 110.8291286 -36.0355114 18.751  3.269       1.625   2.1810  20.1871    18.61      nan      nan    2.741 M4.8      nan    nan   1.028     nan                                None
Gaia DR3 5602578683497310208 106.6299862 -34.7373341 13.198    nan       1.762   3.0350  20.1908    19.67      nan      nan    2.655  nan      nan    nan   2.127     nan                                None
Gaia DR3 5589708728102351872 112.2333579 -35.8884055 12.031  0.771       3.094   2.5936  20.1939    18.34    18.22     0.78    2.567 F9.7      nan    nan   0.903     nan                            Gaia DR3
Gaia DR3 5589700408746230016 111.9428205 -35.8430508 17.456  2.802       1.558   2.4089  20.1970    18.41      nan      nan    2.728 M3.7      nan    nan   0.986     nan                                None
Gaia DR3 5604973312449611776 109.9566480 -31.1922644 17.649  2.856       0.234   2.7360  20.2289    19.56      nan      nan    2.578 M3.8      nan    nan   0.936     nan                                None
Gaia DR3 5592105521714883328 113.5287343 -32.9152185  9.850  0.126       1.885   2.9783  20.2612    18.52    13.40     1.72    2.608 A3.6      nan    nan   2.799     nan                            Gaia DR3
Gaia DR3 5591230830152448512 112.7705160 -35.3176658 14.068  1.259       0.217   2.5543  20.3094    18.32    -8.23     8.10    2.563 K3.5      nan    nan   1.023     nan                            Gaia DR3
Gaia DR3 5590148150497492352 108.5729200 -36.4864014 20.003  2.952       4.340   2.8771  20.3324    18.99      nan      nan    2.691 M4.0      nan    nan   1.047     nan                                None
Gaia DR3 5590792842269106304 109.5946021 -34.4177090 16.908  2.394       2.682   0.6873  20.3651    19.14      nan      nan    2.782 M2.7      nan    nan   0.976     nan                                None
Gaia DR3 5591226668322001536 112.4675377 -35.4290977 18.007  2.871       0.779   2.4163  20.3788    18.37      nan      nan    2.730 M3.8      nan    nan   1.036     nan                                None
Gaia DR3 5592828008233842176 111.2107847 -31.9819577 15.922  2.125       0.953   2.1277  20.4554    19.17      nan      nan    2.539 M1.2      nan    nan   1.025     nan                                None
Gaia DR3 5592897140029152896 110.8841445 -31.7022741 12.562  0.824       0.439   2.2996  20.4744    19.28    20.87     3.09    2.738 G2.1      nan    nan   0.873     nan                            Gaia DR3
Gaia DR3 5591304256914738688 112.2361294 -34.9183537  6.891 -0.156       2.611   1.9737  20.4847    18.50      nan      nan    2.533 B4.8      nan    nan   1.180     nan                                None
Gaia DR3 5602966772448515328 107.1815165 -33.3515502 19.906  3.224       3.963   2.5530  20.5052    19.79      nan      nan    2.723 M4.7      nan    nan   0.975     nan                                None
Gaia DR3 5592821990977297792 111.2757134 -32.1054348 19.382    nan       1.595   2.0396  20.5101    19.14      nan      nan    2.750  nan      nan    nan   0.991     nan                                None
Gaia DR3 5602740449152100736 107.7789449 -33.7899709 18.036  2.039       4.907   1.9903  20.5632    19.61      nan      nan    2.533 M0.8      nan    nan   1.079     nan                                None
Gaia DR3 5590149494824475904 108.4723992 -36.4119414 13.975  1.201       3.542   2.8503  20.5967    19.02    37.01     2.23    2.699 K2.9      nan    nan   0.974     nan                            Gaia DR3
Gaia DR3 5602973545617694592 106.6281787 -33.6983136 18.065  2.970       3.320   2.9515  20.5972    19.84      nan      nan    2.595 M4.0      nan    nan   1.064     nan                                None
Gaia DR3 5605223249490609024 109.3561012 -30.9480133 17.044  2.050       4.927   3.0526  20.6124    19.72      nan      nan    2.612 M0.8      nan    nan   1.012     nan                                None
Gaia DR3 5589592626546082944 111.4940791 -36.3243763 15.622  1.951       0.588   2.6347  20.6389    18.43      nan      nan    2.719 M0.5      nan    nan   1.056     nan                                None
Gaia DR3 5605054440093708032 109.2536121 -31.4737290 16.166  2.254       0.451   2.5672  20.6512    19.67      nan      nan    2.560 M2.0      nan    nan   1.022     nan                                None
Gaia DR3 5602974950066393984 106.4456805 -33.7628172 17.739  2.861       4.765   3.0976  20.6562    19.87      nan      nan    2.658 M3.8      nan    nan   0.941     nan                                None
Gaia DR3 5589784491324711808 111.7581804 -35.4045907 13.065  0.978       2.606   1.9754  20.7207    18.52    18.46     5.79    2.755 G9.9      nan    nan   0.926     nan                            Gaia DR3
Gaia DR3 5588388519576816512 113.7125814 -34.6426736 18.063  2.991       0.490   3.0139  20.7329    18.22      nan      nan    2.601 M4.1      nan    nan   1.019     nan                                None
Gaia DR3 5589619147966665088 110.5222508 -36.5541617 20.293  2.611       2.831   2.6475  20.7391    18.59      nan      nan    2.564 M3.3      nan    nan   1.024     nan                                None
Gaia DR3 5591254224832627584 112.8591385 -35.2831499 18.854  3.267       2.260   2.5979  20.7503    18.31      nan      nan    2.561 M4.8      nan    nan   1.028     nan                                None
Gaia DR3 5592128542735409024 113.5840732 -32.6206883 19.170  3.021       2.902   3.1367  20.7553    18.55      nan      nan    2.642 M4.2      nan    nan   0.971     nan                                None
Gaia DR3 5591291676947787520 112.2676093 -35.1899382 18.225  2.968       1.183   2.1423  20.8393    18.45      nan      nan    2.749 M4.0      nan    nan   1.031     nan                                None
Gaia DR3 5590460755396336896 107.3879988 -35.6094890 19.189  3.092       2.564   2.8407  20.8518    19.37      nan      nan    2.704 M4.3      nan    nan   1.062     nan                                None
Gaia DR3 5592140332425689728 112.8508724 -32.9548036 20.199  2.801       3.158   2.4370  20.8767    18.67      nan      nan    2.550 M3.7      nan    nan   1.053     nan                                None
Gaia DR3 5602486221446541824 106.8885969 -35.3813487 13.516  1.145       3.911   3.0685  20.8973    19.51    32.82     1.57    2.606 K2.3      nan    nan   1.003     nan                            Gaia DR3
Gaia DR3 5590130425170240768 108.7221947 -36.6891089 18.707  2.556       4.633   3.0085  20.9054    18.92      nan      nan    2.685 M3.2      nan    nan   1.003     nan                                None
Gaia DR3 5592588795726279680 111.3647217 -32.5648390 17.597  2.768       0.427   1.6853  20.9456    19.05      nan      nan    2.520 M3.6      nan    nan   1.014     nan                                None
Gaia DR3 5590469345328353152 107.0320372 -35.6485378 18.668  3.410       2.801   3.1019  20.9540    19.43      nan      nan    2.670 M5.1      nan    nan   0.969     nan                                None
Gaia DR3 5603374901722679168 108.0890132 -32.6657359 15.913  2.223       2.808   2.1460  20.9552    19.72      nan      nan    2.750 M1.8      nan    nan   1.174     nan                                None
Gaia DR3 5603553499341475968 107.8657548 -32.1274535 12.335  0.789       2.833   2.6371  20.9577    19.85    23.42     2.93    2.561 G0.3      nan    nan   0.936     nan                            Gaia DR3
Gaia DR3 5589464494782977664 109.2287353 -36.6393365 18.532  1.951       4.289   2.8236  20.9679    18.83      nan      nan    2.708 M0.5      nan    nan   2.654     nan                                None
Gaia DR3 5589684263969052032 111.9056076 -36.0831609 16.787  2.777       1.053   2.5863  20.9704    18.38      nan      nan    2.557 M3.7      nan    nan   1.114     nan                                None
Gaia DR3 5590240926088395776 109.0324137 -36.1756101  9.593  0.157       4.721   2.4382  21.0170    18.95    14.07     3.11    2.548 A3.9      nan    nan   4.255     nan                            Gaia DR3
Gaia DR3 5590058510238109696 111.1467322 -34.8726824 18.342  3.292       2.488   1.2458  21.0262    18.74      nan      nan    2.509 M4.8      nan    nan   0.989     nan                                None
Gaia DR3 5590161722591972096 108.6261645 -36.1555286 19.797  2.763       4.546   2.5662  21.0341    19.04      nan      nan    2.729 M3.6      nan    nan   1.054     nan                                None
Gaia DR3 5592891401952894080 110.8805084 -31.8392439 16.536  2.824       0.491   2.1667  21.0552    19.27      nan      nan    2.535 M3.7      nan    nan   1.072     nan                                None
Gaia DR3 5604972870077274496 109.9245590 -31.2277934 13.499  1.087       0.606   2.7025  21.0578    19.56    14.96     3.54    2.564 K1.9      nan    nan   1.149     nan                            Gaia DR3
Gaia DR3 5586655246873134848 112.2579109 -36.5005105 16.706  2.576       0.854   3.0911  21.0789    18.24      nan      nan    2.605 M3.2      nan    nan   0.959     nan                                None
Gaia DR3 5590571020094385536 108.6063266 -34.9448549 17.684  2.800       4.212   1.6461  21.0870    19.25      nan      nan    2.518 M3.7      nan    nan   1.030     nan                                None
Gaia DR3 5591746157510578304 112.1437678 -33.2357668 17.369  2.808       0.469   1.7816  21.1359    18.78      nan      nan    2.521 M3.7      nan    nan   1.035     nan                                None
Gaia DR3 5590052630425937280 110.7636432 -34.7922666 17.863  2.922       2.433   0.9983  21.1466    18.83      nan      nan    2.784 M3.9      nan    nan   1.093     nan                                None
Gaia DR3 5603179154284558080 108.1705621 -32.9378257 19.724  2.721       2.770   1.9377  21.1808    19.66      nan      nan    2.761 M3.5      nan    nan   1.054     nan                                None
Gaia DR3 5591869852570174592 113.3783269 -33.6682917 18.050  2.556       2.794   2.6778  21.1966    18.44      nan      nan    2.561 M3.2      nan    nan   1.069     nan                                None
Gaia DR3 5591369398678920832 113.3990873 -34.6715303 19.580  2.547       3.870   2.7704  21.2038    18.28      nan      nan    2.567 M3.2      nan    nan   1.026     nan                                None
Gaia DR3 5592117135302787840 113.4391716 -32.8666230 19.707  2.849       4.879   2.9260  21.2038    18.54      nan      nan    2.702 M3.8      nan    nan   0.980     nan                                None
Gaia DR3 5591855215321644800 113.6947762 -33.6915648 16.228  2.311       0.725   2.9374  21.2066    18.37      nan      nan    2.700 M2.3      nan    nan   0.966     nan                                None
Gaia DR3 5592671460970565120 110.8587211 -32.9117946 18.329  2.434       4.296   1.1624  21.2346    19.11      nan      nan    2.506 M2.8      nan    nan   1.002     nan                                None
Gaia DR3 5592868307907534848 110.6517810 -31.9649095 17.974  2.892       1.144   1.9987  21.2721    19.30      nan      nan    2.527 M3.9      nan    nan   0.990     nan                                None
Gaia DR3 5589247757851949568 110.3779486 -36.5059981 16.968  1.288       2.610   2.5892  21.2806    18.63      nan      nan    2.730 K3.7      nan    nan   1.049     nan                                None
Gaia DR3 5605008226248861824 110.2406638 -30.8647081 16.725  2.563       0.718   3.0582  21.2838    19.54      nan      nan    2.687 M3.2      nan    nan   0.968     nan                                None
Gaia DR3 5590530750481732096 108.4553669 -35.2776085 13.651  1.196       0.892   1.9569  21.2984    19.22    12.59     2.36    2.761 K2.9      nan    nan   3.687     nan                            Gaia DR3
Gaia DR3 5603123693373651328 108.1182052 -33.5078455 19.079  3.209       3.835   1.7566  21.3227    19.58      nan      nan    2.519 M4.6      nan    nan   0.955     nan                                None
Gaia DR3 5603423829981629952 107.1264468 -32.6706440 18.383    nan       4.575   2.8353  21.3561    19.91      nan      nan    2.571  nan      nan    nan   1.128     nan                                None
Gaia DR3 5593207094923704064 111.6399683 -31.8571609 18.710  3.153       0.477   2.4057  21.3941    19.10      nan      nan    2.543 M4.5      nan    nan   1.026     nan                                None
Gaia DR3 5593274135078609152 111.4980961 -31.3866921 17.292  2.732       1.000   2.7710  21.3960    19.19      nan      nan    2.719 M3.6      nan    nan   1.014     nan                                None
Gaia DR3 5603085828943645696 108.8526067 -33.5928745 17.813  2.769       2.788   1.1441  21.4755    19.42      nan      nan    2.504 M3.6      nan    nan   1.065     nan                                None
Gaia DR3 5592063641493475712 113.1797661 -33.4855962 15.650  1.385       2.120   2.5412  21.4771    18.51      nan      nan    2.736 K4.6      nan    nan   9.946     nan                                None
Gaia DR3 5605177551036987904 109.4548535 -30.9598732 16.188  2.314       0.984   3.0233  21.4790    19.70      nan      nan    2.696 M2.4      nan    nan   1.013     nan                                None
Gaia DR3 5588196556018629504 112.9223738 -35.8694587 17.527  2.300       4.233   2.9807  21.5126    18.20      nan      nan    2.582 M2.3      nan    nan   0.983     nan                                None
Gaia DR3 5602690283933383680 107.2013109 -34.5038744 17.238  2.640       4.098   2.5231  21.5335    19.60      nan      nan    2.548 M3.4      nan    nan   1.007     nan                                None
Gaia DR3 5593237198350038528 112.4056595 -31.3576254 18.185  2.828       1.470   3.1811  21.5688    18.99      nan      nan    2.608 M3.7      nan    nan   0.969     nan                                None
Gaia DR3 5603034014455025920 106.8501016 -33.0338285 18.773  3.124       4.626   2.9083  21.6042    19.91      nan      nan    2.710 M4.4      nan    nan   1.028     nan                                None
Gaia DR3 5605043612473425664 108.8564972 -31.5266467 18.238  3.215       0.493   2.6383  21.6177    19.74      nan      nan    2.553 M4.6      nan    nan   1.069     nan                                None
Gaia DR3 5605202805442339968 110.1855421 -30.6602086 19.396  3.015       1.133   3.2621  21.6376    19.58      nan      nan    2.652 M4.1      nan    nan   0.949     nan                                None
Gaia DR3 5593011832835083008 112.2154347 -31.8469041  7.104 -0.212       3.479   2.6937  21.6415    18.97      nan      nan    2.728 B1.1      nan    nan   1.571     nan                                None
Gaia DR3 5590182308374735104 107.7276693 -36.5140722 15.352  2.240       2.711   3.2707  21.6448    19.15   -28.84    10.43    2.638 M1.9      nan    nan   1.254     nan                            Gaia DR3
Gaia DR3 5591771755516466688 112.3585757 -33.0594116 13.173  0.951       0.178   2.0185  21.6541    18.76    16.93     5.26    2.525 G9.0      nan    nan   1.084     nan                            Gaia DR3
Gaia DR3 5593270114989173760 111.6302870 -31.4564932 16.516  2.407       0.544   2.7549  21.6607    19.16      nan      nan    2.561 M2.7      nan    nan   1.013     nan                                None
Gaia DR3 5592557494012855936 111.4101390 -33.0365429 16.147  2.164       1.722   1.3615  21.6726    18.97      nan      nan    2.507 M1.4      nan    nan   0.965     nan                                None
Gaia DR3 5592867453213998720 110.7528640 -31.9237564  5.374 -0.195       0.992   2.0575  21.6995    19.28      nan      nan    2.526 B2.3      nan    nan   0.948     nan                                None
Gaia DR3 5586630709718904192 112.7297220 -36.4505165 17.447  2.445       4.640   3.2810  21.7175    18.14      nan      nan    2.646 M2.9      nan    nan   1.010     nan                                None
Gaia DR3 5602964062324617344 107.3379215 -33.3923593 17.209  2.605       4.311   2.4164  21.7211    19.76      nan      nan    2.540 M3.3      nan    nan   1.044     nan                                None
Gaia DR3 5589500336287490304 109.6332008 -36.2259771 16.890  2.776       4.026   2.3452  21.7376    18.83      nan      nan    2.749 M3.6      nan    nan   1.473     nan                                None
Gaia DR3 5591268690284059392 112.8747667 -34.9645468 17.640  2.679       0.772   2.4616  21.7474    18.35      nan      nan    2.542 M3.5      nan    nan   0.973     nan                                None
Gaia DR3 5604937273387671296 110.6766450 -31.2308022 16.913  2.575       0.250   2.7251  21.7702    19.40      nan      nan    2.557 M3.2      nan    nan   1.028     nan                                None
Gaia DR3 5590731441413656704 109.3133622 -35.1414596 19.813  2.673       1.286   1.4088  21.8126    19.08      nan      nan    2.782 M3.4      nan    nan   1.215     nan                                None
Gaia DR3 5603152491134340096 108.1914838 -33.3126479 17.848  3.091       3.851   1.7571  21.8151    19.60      nan      nan    2.515 M4.3      nan    nan   1.042     nan                                None
Gaia DR3 5604175964660747136 107.0370773 -32.5634223 12.635  0.851       1.547   2.9517  21.8524    19.95    29.81     4.94    2.573 G5.1      nan    nan   0.874     nan                            Gaia DR3
Gaia DR3 5588283206974735488 113.7323343 -35.3366138 18.584  3.431       1.156   3.2540  21.8573    18.10      nan      nan    2.667 M5.2      nan    nan   1.128     nan                                None
Gaia DR3 5604210182660156160 107.1877190 -32.1425978 19.040    nan       4.062   3.0690  21.8986    19.98      nan      nan    2.699  nan      nan    nan   1.058     nan                                None
Gaia DR3 5588379074949628416 114.0768813 -34.6788148 13.117    nan       0.634   3.3143  21.9294    18.13    54.85     6.37    2.639  nan      nan    nan   1.297     nan                            Gaia DR3
Gaia DR3 5605234416405359232 109.5540807 -30.7244438 13.159  0.991       1.473   3.2400  21.9346    19.71    19.66     4.26    2.674 K0.4      nan    nan   0.952     nan                            Gaia DR3
Gaia DR3 5588157244174365696 113.1731641 -35.7513961 11.817  0.701       0.664   3.0689  21.9659    18.16    16.79     3.79    2.583 F8.3      nan    nan   0.892     nan                            Gaia DR3
Gaia DR3 5589500336283013376 109.6329224 -36.2260579 19.799    nan       4.238   2.3453  21.9743    18.83      nan      nan    2.535  nan      nan    nan   0.994     nan                                None
Gaia DR3 5586676652987850368 112.0696167 -36.2387084 17.781  3.098       1.290   2.7893  21.9953    18.32      nan      nan    2.726 M4.4      nan    nan   1.059     nan                                None
Gaia DR3 5566448216015325952 106.8588656 -35.7794587 11.203  0.714       4.871   3.2912  22.0015    19.44    10.15     1.78    2.663 F8.8      nan    nan   0.835     nan                            Gaia DR3
Gaia DR3 5589235903740941824 110.1185910 -36.8251121 10.970  0.465       3.123   2.9031  22.0109    18.62    17.50     0.97    2.567 F1.5      nan    nan   0.888     nan                            Gaia DR3
Gaia DR3 5605196277095317504 110.1873847 -30.8177455 15.766  2.043       0.670   3.1046  22.0261    19.56      nan      nan    2.586 M0.8      nan    nan   0.950     nan                                None
Gaia DR3 5603046040363562496 108.2498773 -34.0484599 18.103  2.935       3.964   1.5974  22.0308    19.47      nan      nan    2.510 M4.0      nan    nan   1.045     nan                                None
Gaia DR3 5592183591342459008 113.2297953 -32.4344339 16.479  2.399       1.392   2.9613  22.1710    18.65      nan      nan    2.570 M2.7      nan    nan   0.993     nan                                None
Gaia DR3 5604844227215855744 109.8890040 -31.8850144 16.658  2.888       0.299   2.0510  22.2435    19.47      nan      nan    2.767 M3.9      nan    nan   1.015     nan                                None
Gaia DR3 5590861840922043904 110.8002867 -34.0369675  9.806  0.663       1.936   0.5347  22.2491    18.95    16.03     0.83    2.799 F6.7      nan    nan   0.846     nan                            Gaia DR3
Gaia DR3 5592746262114958080 110.4325170 -32.4455844 19.240  3.220       4.938   1.4929  22.2507    19.27      nan      nan    2.506 M4.7      nan    nan   1.011     nan                                None
Gaia DR3 5591478495149890432 113.2875515 -33.9387204 17.134  2.917       1.736   2.5863  22.2579    18.42      nan      nan    2.742 M3.9      nan    nan   1.076     nan                                None
Gaia DR3 5605229051984092800 109.3541531 -30.8306686 13.535  1.104       1.691   3.1675  22.2587    19.74    16.55     2.22    2.694 K2.0      nan    nan   2.049     nan                            Gaia DR3
Gaia DR3 5590240990507294208 109.0188569 -36.1717575 18.975  3.121       4.651   2.4389  22.2806    18.96      nan      nan    2.536 M4.4      nan    nan   1.029     nan                                None
Gaia DR3 5593124189181564800 112.7787855 -31.5670265 17.034  2.597       0.459   3.2185  22.3044    18.88      nan      nan    2.595 M3.3      nan    nan   0.999     nan                                None
Gaia DR3 5589300637486478592 109.4415624 -37.0784525 19.996  3.060       3.147   3.2114  22.3445    18.71      nan      nan    2.593 M4.3      nan    nan   1.111     nan                                None
Gaia DR3 5589777889957665280 111.7447096 -35.5818246 19.352  3.167       1.078   2.1040  22.4065    18.50      nan      nan    2.766 M4.5      nan    nan   0.965     nan                                None
Gaia DR3 5592811927868515200 111.6254015 -32.1795475 17.120  2.771       0.747   2.1270  22.4324    19.05      nan      nan    2.522 M3.6      nan    nan   2.507     nan                                None
Gaia DR3 5591777798528761728 112.4030664 -33.0129711 17.586  2.375       3.462   2.0725  22.4586    18.76      nan      nan    2.520 M2.6      nan    nan   1.055     nan                                None
Gaia DR3 5592228941893190400 113.7775837 -32.3619721 18.890  2.609       4.293   3.3993  22.4929    18.54      nan      nan    2.638 M3.3      nan    nan   1.096     nan                                None
Gaia DR3 5592855869682124800 110.5993866 -32.1782520 19.015  3.029       1.192   1.7807  22.5430    19.28      nan      nan    2.511 M4.2      nan    nan   1.022     nan                                None
Gaia DR3 5591817213443532416 114.2790506 -33.8353713 18.975    nan       4.233   3.4119  22.5738    18.21      nan      nan    2.640  nan      nan    nan   1.019     nan                                None
Gaia DR3 5603754164511855744 106.4109283 -33.2260980 17.639  2.800       4.921   3.2085  22.5751    19.96      nan      nan    2.695 M3.7      nan    nan   1.020     nan                                None
Gaia DR3 5592092400594123136 113.2996611 -33.0025816 15.040  1.634       0.807   2.7677  22.5865    18.56   -22.79     7.43    2.551 K5.6      nan    nan   0.992     nan                            Gaia DR3
Gaia DR3 5591269347419800192 112.9171862 -34.9002848 16.197  1.892       4.252   2.4680  22.6334    18.35      nan      nan    2.534 M0.3      nan    nan   1.006     nan                                None
Gaia DR3 5590551503763299584 108.6821329 -35.1974517 17.724  2.877       3.782   1.7686  22.6720    19.19      nan      nan    2.509 M3.8      nan    nan   1.002     nan                                None
Gaia DR3 5604741762171092224 109.9827937 -32.4282473  9.448  0.134       2.011   1.5023  22.7044    19.37      nan      nan    2.788 A3.6      nan    nan   1.300     nan                                None
Gaia DR3 5588346158319772672 113.8052115 -34.9440442 17.102  2.317       3.893   3.1670  22.7339    18.15      nan      nan    2.580 M2.4      nan    nan   1.067     nan                                None
Gaia DR3 5605182700696451968 109.7716900 -30.7901553 19.441  3.338       1.641   3.1502  22.7544    19.66      nan      nan    2.578 M4.9      nan    nan   1.065     nan                                None
Gaia DR3 5592616798921793664 111.5520792 -32.3391306 16.700  2.849       1.682   1.9609  22.7714    19.05      nan      nan    2.775 M3.8      nan    nan   1.878     nan                                None
Gaia DR3 5602818475817229312 106.2837806 -34.1745568 19.726  2.720       2.777   3.2300  22.7829    19.83      nan      nan    2.587 M3.5      nan    nan   1.045     nan                                None
Gaia DR3 5589619461499426560 110.5078698 -36.5174612 11.504    nan       3.314   2.6097  22.7867    18.60    20.20     2.41    2.540  nan      nan    nan   1.797     nan                            Gaia DR3
Gaia DR3 5592605696424233344 111.8146813 -32.4556121 16.033  2.138       0.523   2.0111  22.8011    18.97      nan      nan    2.515 M1.3      nan    nan   0.983     nan                                None
Gaia DR3 5589804282527961856 111.7596338 -35.2180048 18.526  1.332       0.867   1.8415  22.8187    18.55      nan      nan    2.779 K4.1      nan    nan   1.026     nan                                None
Gaia DR3 5604878449515075968 110.3211361 -31.8297830 15.880  2.153       0.427   2.0964  22.8312    19.39      nan      nan    2.771 M1.4      nan    nan   0.930     nan                                None
Gaia DR3 5591475643281087232 113.3316265 -33.9244199 18.583  2.745       0.365   2.6230  22.8492    18.41      nan      nan    2.540 M3.6      nan    nan   0.999     nan                                None
Gaia DR3 5592815707447340800 111.5095604 -32.1529703 17.523  2.864       0.783   2.0954  22.8841    19.08      nan      nan    2.517 M3.8      nan    nan   1.024     nan                                None
Gaia DR3 5591845525864978048 114.2489432 -33.3665626 18.719  2.679       2.195   3.4403  22.8951    18.29      nan      nan    2.659 M3.5      nan    nan   1.089     nan                                None
Gaia DR3 5590633550521602560 108.5536429 -34.5564410 20.048  2.521       3.283   1.4793  22.9238    19.33      nan      nan    2.790 M3.1      nan    nan   1.098     nan                                None
